Название продукта,Тип продукта,Размер наценки,Ожидаемая доходность,Максимальная сумма,Минимальная сумма,Минимальный срок,Максимальный срок,Минимальный возраст,Максимальный возраст
BNPL,финансирование,от 300 тенге,,300000 тенге,10000 тенге,1 месяц,12 месяцев,18,63
Исламское финансирование,финансирование,от 6000 тенге,,5000000 тенге,100000 тенге,3 месяца,60 месяцев,18,60
Исламская ипотека,финансирование,от 200000 тенге,,75000000 тенге,3000000 тенге,12 месяцев,240 месяцев,25,60
Копилка,Инвестиционный,,до 18%,20000000 тенге,1000 тенге,1 месяц,12 месяцев,,
Вакала,Инвестиционный,,до 20%,не ограничена,50000 тенге,3 месяца,36 месяцев,,
